DateTime,Load (kW)
2/22/2017 1:00,0.553
2/22/2017 2:00,0.535
2/22/2017 3:00,0.592
2/22/2017 4:00,0.46725
2/22/2017 5:00,0.49825
2/22/2017 6:00,0.52275
2/22/2017 7:00,0.95875
2/22/2017 8:00,1.099
2/22/2017 9:00,0.77825
2/22/2017 10:00,1.8705
2/22/2017 11:00,2.19275
2/22/2017 12:00,0.6105
2/22/2017 13:00,0.59875
2/22/2017 14:00,0.9455
2/22/2017 15:00,0.94625
2/22/2017 16:00,0.856
2/22/2017 17:00,3.0025
2/22/2017 18:00,1.031
2/22/2017 19:00,0.69925
2/22/2017 20:00,2.1395
2/22/2017 21:00,1.10175
2/22/2017 22:00,0.50625
2/22/2017 23:00,0.44875
2/23/2017 0:00,0.456
2/23/2017 1:00,0.55975
2/23/2017 2:00,0.48975
2/23/2017 3:00,0.5335
2/23/2017 4:00,0.45975
2/23/2017 5:00,0.45475
2/23/2017 6:00,0.56325
2/23/2017 7:00,0.92125
2/23/2017 8:00,0.755
2/23/2017 9:00,1.18675
2/23/2017 10:00,2.12975
2/23/2017 11:00,2.4445
2/23/2017 12:00,0.7685
2/23/2017 13:00,0.659
2/23/2017 14:00,1.026
2/23/2017 15:00,1.01375
2/23/2017 16:00,3.1735
2/23/2017 17:00,0.868
2/23/2017 18:00,1.0195
2/23/2017 19:00,0.63125
2/23/2017 20:00,0.664
2/23/2017 21:00,0.72825
2/23/2017 22:00,0.47925
2/23/2017 23:00,0.51425
2/24/2017 0:00,0.5555
2/24/2017 1:00,0.482
2/24/2017 2:00,0.5385
2/24/2017 3:00,0.53675
2/24/2017 4:00,0.517
2/24/2017 5:00,0.50175
2/24/2017 6:00,0.53
2/24/2017 7:00,1.2415
2/24/2017 8:00,1.1335
2/24/2017 9:00,1.04575
2/24/2017 10:00,2.1075
2/24/2017 11:00,2.4365
2/24/2017 12:00,0.8965
2/24/2017 13:00,0.56425
2/24/2017 14:00,0.578
2/24/2017 15:00,0.57575
2/24/2017 16:00,0.5465
2/24/2017 17:00,0.586
2/24/2017 18:00,0.57525
2/24/2017 19:00,0.46175
2/24/2017 20:00,0.48
2/24/2017 21:00,0.4265
2/24/2017 22:00,0.47825
2/24/2017 23:00,0.41475
2/25/2017 0:00,0.45
2/25/2017 1:00,0.4465
2/25/2017 2:00,0.438
2/25/2017 3:00,0.45975
2/25/2017 4:00,0.428
2/25/2017 5:00,0.41525
2/25/2017 6:00,0.5195
2/25/2017 7:00,0.58875
2/25/2017 8:00,0.6125
2/25/2017 9:00,0.58075
2/25/2017 10:00,1.7795
2/25/2017 11:00,2.18625
2/25/2017 12:00,0.63725
2/25/2017 13:00,0.6445
2/25/2017 14:00,0.56575
2/25/2017 15:00,0.58825
2/25/2017 16:00,0.60375
2/25/2017 17:00,0.57125
2/25/2017 18:00,0.52675
2/25/2017 19:00,0.42775
